sample_index,source_internal_knot_count,canonical_internal_knot_count,mse_tolerance,method,mse,final_internal_knot_count,canonical_count_error,source_count_error,threshold_satisfied,elapsed_ms,timing_scope,parameterization,internal_knots
3836,4,4,1e-05,ours,3.8365898696114674e-05,32,28,28,False,35.1213,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.0011561160208657384, 0.0028370858635753393, 0.005177720915526152, 0.008186081424355507, 0.011797894723713398, 0.015600798651576042, 0.019054556265473366, 0.022214582189917564, 0.025094997137784958, 0.027733510360121727, 0.030964696779847145, 0.0349731408059597, 0.03865531086921692, 0.0414501428604126, 0.04409997537732124, 0.048330072313547134, 0.05162503570318222, 0.05270960181951523, 0.05534782260656357, 0.06204165890812874, 0.06832661479711533, 0.07294294238090515, 0.07849021255970001, 0.09007696062326431, 0.1684817522764206, 0.21123158931732178, 0.2598208487033844, 0.4011963903903961, 0.5514928698539734, 0.6275728940963745, 0.7870928645133972, 0.7979440093040466]"
3836,4,4,1e-05,kang_sparse_2015_adaptation,9.16084066074825e-06,11,7,7,True,2869.2815999966115,complete sparse ADMM selection + relocation + endpoint-constrained verification/fallback + final refit,chord_length,"[0.14615091463414637, 0.21970274390243905, 0.3170731707317073, 0.3233612804878049, 0.43883384146341464, 0.43902439024390244, 0.5365853658536586, 0.588891006097561, 0.7011242378048781, 0.807736280487805, 0.8782393292682926]"
3836,4,4,1e-05,uniform_gradient_pruning,7.323306676833225e-06,11,7,7,True,11580.779500014614,complete uniform-Kmax initialization + all deletion scoring + gradient relocation + exact refit validation,chord_length,"[0.17202193976152116, 0.22297017534730768, 0.33390403640710203, 0.4239107008799906, 0.45600059228807627, 0.56362169122654, 0.5865127123375338, 0.6772259778785532, 0.7165757164172064, 0.8109320647093787, 0.8534612896630952]"
3738,4,4,1e-05,ours,5.399123158122274e-05,32,28,28,False,34.23135,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.0010851110564544797, 0.002529202261939645, 0.003561672056093812, 0.005494058597832918, 0.007774125784635544, 0.009590759873390198, 0.011321846395730972, 0.013054969720542431, 0.01461881771683693, 0.016031691804528236, 0.017431965097784996, 0.018690641969442368, 0.019807331264019012, 0.02090875245630741, 0.022045111283659935, 0.02321852743625641, 0.024402692914009094, 0.025805624201893806, 0.027545608580112457, 0.029772905632853508, 0.03250768408179283, 0.03547411784529686, 0.03994404524564743, 0.050266195088624954, 0.12986205518245697, 0.21627125144004822, 0.22877202928066254, 0.3842179477214813, 0.5002223253250122, 0.6112010478973389, 0.7892787456512451, 0.8002963066101074]"
3738,4,4,1e-05,kang_sparse_2015_adaptation,7.387829749217185e-06,11,7,7,True,3817.40920006996,complete sparse ADMM selection + relocation + endpoint-constrained verification/fallback + final refit,chord_length,"[0.12023628048780488, 0.19112042682926828, 0.29230182926829273, 0.41463414634146345, 0.4163490853658537, 0.5564977134146343, 0.5609756097560976, 0.6585365853658536, 0.6909298780487804, 0.779344512195122, 0.8538490853658536]"
3738,4,4,1e-05,uniform_gradient_pruning,7.612250758547838e-06,11,7,7,True,12437.459499982651,complete uniform-Kmax initialization + all deletion scoring + gradient relocation + exact refit validation,chord_length,"[0.13941322998809372, 0.1967456156719083, 0.28759639753084687, 0.4125245669070793, 0.4323953792316859, 0.5400992035358261, 0.5638685009750172, 0.6655409164185964, 0.6937933154006739, 0.778477784462041, 0.8269675730900102]"
82,4,4,1e-05,ours,5.766114693269405e-05,32,28,28,False,28.8921,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.0007100757211446762, 0.0017745193326845765, 0.0023498160298913717, 0.0037740974221378565, 0.005577598698437214, 0.007453483529388905, 0.009351944550871849, 0.011250934563577175, 0.013202174566686153, 0.015224174596369267, 0.01712126098573208, 0.018771402537822723, 0.020319178700447083, 0.022090865299105644, 0.024148086085915565, 0.0262870155274868, 0.02831489033997059, 0.03024144656956196, 0.032252855598926544, 0.03480839356780052, 0.037863101810216904, 0.040929220616817474, 0.04404236376285553, 0.05010472238063812, 0.0814872607588768, 0.21243546903133392, 0.2310488075017929, 0.39182665944099426, 0.4316433072090149, 0.6211606860160828, 0.801714301109314, 0.8174538016319275]"
82,4,4,1e-05,kang_sparse_2015_adaptation,8.978561215891731e-06,13,9,9,True,2888.464500021655,complete sparse ADMM selection + relocation + endpoint-constrained verification/fallback + final refit,chord_length,"[0.12176067073170732, 0.170922256097561, 0.2687690548780488, 0.29268292682926833, 0.3170731707317073, 0.3902439024390244, 0.3936737804878049, 0.43902439024390244, 0.5210556402439024, 0.5609756097560976, 0.671827362804878, 0.8048780487804879, 0.8538490853658536]"
82,4,4,1e-05,uniform_gradient_pruning,8.874980753468555e-06,10,6,6,True,12041.16319998866,complete uniform-Kmax initialization + all deletion scoring + gradient relocation + exact refit validation,chord_length,"[0.18552152663052762, 0.2970722936086934, 0.4140234320099746, 0.43055296579373925, 0.5376934488750734, 0.5575126971815657, 0.6400212577444973, 0.7298537083947035, 0.7859466267328652, 0.8059293280946477]"
7494,5,5,1e-05,ours,0.00018706476894633575,32,27,27,False,29.2439,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.0010198744712397456, 0.002564461436122656, 0.00453262310475111, 0.006670907139778137, 0.008937792852520943, 0.011023277416825294, 0.012960226275026798, 0.01497563160955906, 0.017171675339341164, 0.019697394222021103, 0.022518157958984375, 0.025488654151558876, 0.02809523418545723, 0.030001139268279076, 0.031914081424474716, 0.03438572213053703, 0.03796388953924179, 0.03928495571017265, 0.0420137457549572, 0.04651666060090065, 0.05062566325068474, 0.054193560034036636, 0.05861377343535423, 0.06758949905633926, 0.10881751775741577, 0.145056813955307, 0.2362663447856903, 0.34310048818588257, 0.517902135848999, 0.5483934283256531, 0.6897051930427551, 0.8047585487365723]"
